id,latitud,longitud,cluster_dbscan,riesgo_cluster
408,19.48374,-99.20335,-1,0.0
409,19.5135,-99.20493,-1,0.0
410,19.46819,-99.17616,0,51.45703241153732
411,19.4907,-99.17347,-1,0.0
412,19.46432,-99.14524,1,55.75379125780553
413,19.46344,-99.14833,1,55.75379125780553
414,19.46808,-99.15085,-1,0.0
415,19.49678,-99.18479,-1,0.0
416,19.48438,-99.17703,-1,0.0
417,19.48889,-99.15184,105,50.26761819803747
418,19.47311,-99.14589,2,51.858459708593514
419,19.48519,-99.1965,263,50.26761819803747
420,19.4907,-99.17347,-1,0.0
421,19.47513,-99.17532,275,50.25275052036872
557,19.35899,-99.16345,-1,0.0
558,19.42911,-99.15391,3,100.0
559,19.3893,-99.04232,-1,0.0
560,19.29695,-99.15051,-1,0.0
561,19.52154,-99.14841,-1,0.0
562,19.44404,-99.13975,3,100.0
563,19.44208,-99.2159,4,50.579839429081176
564,19.41799,-99.08918,7,55.11448111804936
565,19.3175,-99.23692,188,50.32708890871246
566,19.3808,-99.03826,-1,0.0
567,19.33865,-99.1921,5,51.45703241153732
568,19.47337,-99.15442,2,51.858459708593514
569,19.42167,-99.08943,-1,0.0
570,19.48346,-99.1311,-1,0.0
571,19.44852,-99.06219,6,50.96639904846863
572,19.42681,-99.09242,7,55.11448111804936
573,19.47659,-99.09181,8,50.49063336306869
574,19.4768,-99.17515,275,50.25275052036872
575,19.47634,-99.16265,-1,0.0
576,19.39052,-99.20207,9,50.609574784418676
577,19.43611,-99.20322,-1,0.0
578,19.3962,-99.22245,-1,0.0
4179,19.48283,-99.18241,10,50.26761819803747
4180,19.49006,-99.18332,-1,0.0
4181,19.45824,-99.16392,14,50.86232530478739
4182,19.48527,-99.15048,-1,0.0
4183,19.4925,-99.16947,-1,0.0
4184,19.47773,-99.18462,11,50.34195658638121
4185,19.47364,-99.15899,136,50.431162652393695
4186,19.49313,-99.19551,-1,0.0
4187,19.47364,-99.15899,136,50.431162652393695
4188,19.48229,-99.19766,263,50.26761819803747
4189,19.48889,-99.15184,105,50.26761819803747
4190,19.46819,-99.17616,0,51.45703241153732
4191,19.49034,-99.17557,-1,0.0
4192,19.46782,-99.18972,-1,0.0
4193,19.48856,-99.18421,-1,0.0
4194,19.47099,-99.17649,0,51.45703241153732
4195,19.49086,-99.16884,-1,0.0
4196,19.48019,-99.18897,12,51.30835563484984
4197,19.48648,-99.19189,-1,0.0
4198,19.46488,-99.17746,-1,0.0
4199,19.47465,-99.17347,275,50.25275052036872
4200,19.46882,-99.18185,-1,0.0
4201,19.4706,-99.17864,0,51.45703241153732
4202,19.45918,-99.16953,-1,0.0
4203,19.50289,-99.20648,23,50.31222123104371
4204,19.46751,-99.14586,-1,0.0
4205,19.49619,-99.15895,-1,0.0
4206,19.48686,-99.16728,-1,0.0
4207,19.47387,-99.15075,2,51.858459708593514
4208,19.48359,-99.15667,-1,0.0
4209,19.483,-99.18311,10,50.26761819803747
4210,19.47418,-99.15606,-1,0.0
4211,19.48382,-99.20913,-1,0.0
4212,19.4768,-99.15026,-1,0.0
4213,19.49657,-99.19954,13,50.460898007731195
4214,19.47608,-99.18338,11,50.34195658638121
4215,19.47002,-99.18954,262,50.32708890871246
4216,19.46857,-99.16578,-1,0.0
1742,19.46729,-99.14368,1,55.75379125780553
1743,19.48482,-99.18263,-1,0.0
1744,19.47962,-99.20839,-1,0.0
1745,19.49249,-99.16947,-1,0.0
1746,19.46564,-99.18782,-1,0.0
1747,19.47882,-99.21542,-1,0.0
1748,19.47115,-99.16713,24,50.282485875706215
1749,19.47057,-99.17882,0,51.45703241153732
1750,19.47512,-99.21792,-1,0.0
1751,19.51038,-99.20211,-1,0.0
1752,19.483,-99.18311,10,50.26761819803747
1753,19.4638,-99.14843,1,55.75379125780553
1754,19.50126,-99.20194,-1,0.0
1755,19.49983,-99.15806,-1,0.0
1756,19.49037,-99.20103,-1,0.0
1758,19.50976,-99.20003,-1,0.0
1759,19.48708,-99.2162,-1,0.0
1760,19.48557,-99.19711,263,50.26761819803747
1761,19.4858,-99.20255,-1,0.0
1772,19.49865,-99.19128,-1,0.0
1773,19.46082,-99.17049,-1,0.0
1774,19.4614,-99.16072,14,50.86232530478739
1775,19.47885,-99.17492,-1,0.0
1776,19.47877,-99.18807,12,51.30835563484984
1777,19.48185,-99.1834,10,50.26761819803747
1778,19.46782,-99.18972,-1,0.0
1779,19.47828,-99.19008,12,51.30835563484984
1780,19.4649,-99.18223,-1,0.0
1781,19.47269,-99.18925,262,50.32708890871246
1782,19.47269,-99.18925,262,50.32708890871246
1783,19.46897,-99.18296,-1,0.0
1784,19.46583,-99.1899,-1,0.0
1785,19.46506,-99.14312,1,55.75379125780553
1786,19.47275,-99.16216,-1,0.0
1787,19.49204,-99.15302,-1,0.0
1788,19.46819,-99.17616,0,51.45703241153732
1789,19.4706,-99.17864,0,51.45703241153732
1790,19.4616,-99.17519,-1,0.0
1791,19.48452,-99.18658,-1,0.0
1792,19.47275,-99.16216,-1,0.0
1793,19.46819,-99.17616,0,51.45703241153732
1794,19.47899,-99.18869,12,51.30835563484984
2931,19.49188,-99.15296,-1,0.0
2843,19.47111,-99.17577,-1,0.0
2844,19.47313,-99.17811,-1,0.0
2846,19.47512,-99.17532,275,50.25275052036872
2847,19.48005,-99.19865,274,50.26761819803747
2848,19.4659,-99.17305,-1,0.0
2849,19.46189,-99.17697,-1,0.0
2850,19.49959,-99.19808,-1,0.0
2851,19.51114,-99.20018,-1,0.0
2852,19.47298,-99.19036,-1,0.0
2853,19.48182,-99.18764,12,51.30835563484984
2854,19.48889,-99.15184,105,50.26761819803747
2855,19.46067,-99.16293,14,50.86232530478739
2856,19.47288,-99.16176,-1,0.0
2857,19.47828,-99.19008,12,51.30835563484984
2858,19.48753,-99.19196,-1,0.0
2859,19.50756,-99.18245,-1,0.0
2860,19.4706,-99.17865,0,51.45703241153732
3158,19.47105,-99.17903,0,51.45703241153732
3159,19.5007,-99.17523,-1,0.0
3160,19.45964,-99.1627,14,50.86232530478739
3161,19.46002,-99.16557,14,50.86232530478739
