id,edo,mes,anio,mpio,hora,minutos,dia,diasemana,urbana,suburbana,tipaccid,automovil,campasaj,microbus,pascamion,omnibus,tranvia,camioneta,camion,tractor,ferrocarri,motociclet,bicicleta,otrovehic,causaacci,caparod,sexo,aliento,cinturon,edad,condmuerto,condherido,pasamuerto,pasaherido,peatmuerto,peatherido,ciclmuerto,ciclherido,otromuerto,otroherido,totmuertos,totheridos,clase,calle1,calle2,carretera,longitud,latitud,fechahora,severidad,hay_muertos,hay_heridos,solo_daños_materiales,severidad_cat,franja_horaria,geometry,edge_u,edge_v,edge_key,distancia_edge
408,9,1,2019,2,19,59,1,2,1,0,10,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,5,9,25,0,2,0,0,0,0,0,0,0,0,0,2,2,EJE VIAL 3 NORTE (CALZADA SAN ISIDRO),CALLE RENACIMIENTO,NAN,-99.20335,19.48374,2019-01-01 19:59:00,6,False,True,False,moderada,Noche,POINT (-99.20335 19.48374),269343999,372453602,0,0.2701226496106813
409,9,1,2019,2,3,37,5,6,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,CALLE PERSEO,CALLE ORIÓN,NAN,-99.20493,19.5135,2019-01-05 03:37:00,0,False,False,True,leve,Madrugada,POINT (-99.20493 19.5135),8167712493,1932429931,0,0.21378218197964782
410,9,1,2019,2,14,23,5,6,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,EJE VIAL 3 NORTE (CUITLÁHUAC),AVENIDA AVENIDA DE LAS GRANJAS,NAN,-99.17616,19.46819,2019-01-05 14:23:00,0,False,False,True,leve,Tarde,POINT (-99.17616 19.46819),7982345896,7982345894,0,4.3451499628991455
411,9,1,2019,2,15,55,5,6,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,5,9,40,0,1,0,0,0,0,0,0,0,0,0,1,2,EJE VIAL 4 NORTE (CALZADA AZCAPOTZALCO-LA VILLA),AVENIDA AVENIDA DE LAS GRANJAS,NAN,-99.17347,19.4907,2019-01-05 15:55:00,3,False,True,False,moderada,Tarde,POINT (-99.17347 19.4907),2733145454,2732924575,0,0.43662908375742654
412,9,1,2019,2,18,30,10,4,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,CIRCUITO INTERIOR (PASEO DE LAS JACARANDAS),CIRCUITO INTERIOR (PASEO DE LAS JACARANDAS),NAN,-99.14524,19.46432,2019-01-10 18:30:00,0,False,False,True,leve,Noche,POINT (-99.14524 19.46432),270462193,12912266093,0,10.46328491821454
413,9,1,2019,2,15,10,11,5,1,0,10,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,AVENIDA ENCARNACIÓN ORTIZ,CALLE YAQUIS,NAN,-99.14833,19.46344,2019-01-11 15:10:00,0,False,False,True,leve,Tarde,POINT (-99.14833 19.46344),8751101089,1409192254,0,5.634409010867333
414,9,1,2019,2,16,3,11,5,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,6,9,55,0,0,0,0,0,1,0,0,0,0,0,1,2,AVENIDA ANTONIO VALERIANO,CALLE 22,NAN,-99.15085,19.46808,2019-01-11 16:03:00,3,False,True,False,moderada,Tarde,POINT (-99.15085 19.46808),370465452,386248413,0,0.3330127729579469
415,9,1,2019,2,10,48,17,4,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,5,7,47,0,0,0,0,0,1,0,0,0,0,0,1,2,AVENIDA REAL DE SAN MARTÍN,AVENIDA SAN PABLO XALPA,NAN,-99.18479,19.49678,2019-01-17 10:48:00,3,False,True,False,moderada,Mañana,POINT (-99.18479 19.49678),366177498,6133532381,0,0.6114486308715679
416,9,1,2019,2,4,0,19,6,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4,9,22,0,0,0,0,0,0,0,0,0,0,0,0,3,CALLE MICHOACÁN,CALZADA SANTO TOMÁS,NAN,-99.17703,19.48438,2019-01-19 04:00:00,0,False,False,True,leve,Madrugada,POINT (-99.17703 19.48438),387152343,387152423,0,3.6463810027655668
417,9,1,2019,2,10,4,21,1,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,5,9,26,0,1,0,0,0,0,0,0,0,0,0,1,2,EJE VIAL 1 PONIENTE (CALZADA VALLEJO),EJE VIAL 1 PONIENTE (CALZADA VALLEJO),NAN,-99.15184,19.48889,2019-01-21 10:04:00,3,False,True,False,moderada,Mañana,POINT (-99.15184 19.48889),60916381,1404054457,0,1.144499659703906
