u,v,key,peso_distancia,peso_balanceado,peso_seguro
30339493,274185917,0,143.7745,159.4267,175.0788
30339495,274187776,0,119.1435,135.9773,152.811
30339495,274188569,0,58.2831,74.2383,90.1934
30339671,275512749,0,87.4893,97.1356,106.7819
30339671,274840978,0,12.831,14.3828,15.9346
30339671,5506604704,0,92.7411,103.9574,115.1737
30339672,30385334,0,49.2662,57.8817,66.4972
30339672,30341037,0,92.5692,105.0181,117.4669
30339673,30758636,0,91.4364,101.6007,111.765
30339673,274840980,0,13.6346,15.1502,16.6659
30339673,30341025,0,58.3266,64.8103,71.294
30339674,274840981,0,12.5304,13.4268,14.3232
30339674,30339675,0,213.8816,215.2725,216.6635
30339675,30339676,0,242.1113,245.2605,248.4096
30339675,30789037,0,96.4475,97.0748,97.702
30339676,30339677,0,161.7705,179.8149,197.8594
30339676,30789038,0,73.435,74.3972,75.3595
30339677,274840984,0,12.6445,14.055,15.4654
30339677,274839440,0,141.6041,157.3342,173.0643
30339687,11002645513,0,7.0975,11.5477,15.998
30339687,274839861,0,73.685,75.7578,77.8306
30339689,268825767,0,76.4124,77.4063,78.4002
30339689,274840031,0,13.7607,14.0292,14.2976
30339690,274840033,0,16.843,17.0621,17.2811
30339690,30339691,0,112.9794,114.4489,115.9185
30339691,274840035,0,14.0593,16.6012,19.1431
30339691,268821597,0,200.7163,324.6243,448.5323
30339691,268825923,0,80.6428,95.2228,109.8028
30339693,268821501,0,11.0564,11.494,11.9317
30339693,5476097090,0,13.5119,17.1304,20.7489
30339693,6366477074,0,165.9883,172.559,179.1297
30339694,268825949,0,42.4822,48.147,53.8117
30339694,268459497,0,43.9243,49.5462,55.1681
30339698,268839419,0,163.9277,190.2832,216.6387
30339698,30339700,0,200.1616,279.8489,359.5362
30339700,274840676,0,10.2178,10.6806,11.1435
30339700,30339701,0,143.3027,143.9831,144.6634
30339701,4523950538,0,124.0702,125.9021,127.734
30339701,268844282,0,96.2298,96.6866,97.1435
30339769,7888483835,0,36.1859,42.7098,49.2336
30339770,848504682,0,54.2086,60.8087,67.4088
30339770,268459712,0,82.1033,92.0997,102.0961
30339771,848504674,0,50.3357,56.4662,62.5967
30339771,30339772,0,107.2901,125.9379,144.5857
30339772,877118485,0,160.1803,168.5141,176.848
30339772,268459495,0,40.9207,48.033,55.1453
30339774,268826716,0,23.9396,27.697,31.4543
30339774,7888434842,0,188.3432,212.7509,237.1586
30339776,268639491,0,195.5081,252.0691,308.63
30339776,268623583,0,42.0098,49.5835,57.1573
30339782,274838655,0,209.1451,253.2008,297.2565
30339782,30339783,0,55.0616,63.741,72.4204
30339783,274838674,0,214.9513,276.5134,338.0754
30339783,274838676,0,57.8835,63.9962,70.1088
30339784,274838695,0,239.0204,282.6325,326.2446
30339784,270500538,0,63.0259,70.0915,77.1571
30339785,274836759,0,260.8206,398.5721,536.3236
30339785,274836789,0,44.1592,78.6709,113.1826
30339786,274836866,0,63.8777,72.5092,81.1407
30339787,274823965,0,25.3341,28.01,30.6858
30339787,268903622,0,46.6751,53.1172,59.5592
30339790,7890714014,0,43.1186,47.8011,52.4836
30339790,274820876,0,201.8007,224.2665,246.7323
30339793,5051969041,0,269.7592,305.6415,341.5237
30339796,270507779,0,69.5858,77.1218,84.6578
30339796,268903228,0,41.8459,46.3665,50.8871
