edge_u,edge_v,edge_key,accidentes_totales,severidad_total,muertos_totales,heridos_totales,accidentes_graves,distancia_prom_edge
30339493,274185917,0,1,3,0,1,0,0.3177546554721399
30339672,30341037,0,3,3,0,1,0,6.350255636333966
30339674,30339675,0,2,0,0,0,0,3.7562302230723783
30339689,268825767,0,3,0,0,0,0,0.17530292590288862
30339700,274840676,0,3,6,0,2,0,3.2800675831816144
30339701,4523950538,0,1,3,0,1,0,5.745142758945511
30339770,268459712,0,1,0,0,0,0,0.09827945687973223
30339772,268459495,0,9,3,0,1,0,1.4577230907389038
30339774,7888434842,0,2,0,0,0,0,1.3368937725788235
30339776,268623583,0,10,6,0,2,0,1.830593788329173
30339776,268639491,0,2,0,0,0,0,1.0032634082359824
30339787,268903622,0,6,0,0,0,0,6.098577798455704
30339790,274820876,0,2,0,0,0,0,2.269271730229586
30339790,7890714014,0,1,0,0,0,0,0.09089425433573887
30340060,276069111,0,1,0,0,0,0,0.6886535616398685
30340073,30340074,0,2,0,0,0,0,3.4570084730509887
30340076,30879991,0,4,0,0,0,0,2.692465947975555
30340084,11155081781,0,1,3,0,1,0,2.864934648697488
30340085,1966450725,0,1,0,0,0,0,3.1134317509477127
30340085,2460335327,0,1,0,0,0,0,4.419480271974858
30340088,30789437,0,5,0,0,0,0,1.5646114872569556
30340089,30789228,0,6,3,0,1,0,2.996993428872989
30340092,275512761,0,3,0,0,0,0,1.5642340263191137
30340094,275512763,0,5,3,0,1,0,0.8084853790890991
30340095,8840210604,0,3,9,0,3,0,1.1066665475346837
30340096,275512765,0,5,6,0,2,0,0.33024095940678416
30340883,1439029489,0,3,0,0,0,0,0.7466825925121817
30340897,30385352,0,2,3,0,1,0,4.59893844596081
30340904,8240182413,0,2,0,0,0,0,3.885303945160148
30340905,30759094,0,2,0,0,0,0,1.133901767761464
30340906,30341108,0,1,0,0,0,0,2.464893272930203
30340909,30385366,0,2,0,0,0,0,0.9527802623622466
30340916,30341031,0,4,3,0,1,0,1.0610026353619109
30340918,30789024,0,1,0,0,0,0,0.5759827044068818
30340920,8392318114,0,2,0,0,0,0,1.596998140705189
30340922,275730872,0,4,0,0,0,0,0.44932577247442734
30340971,30758686,0,1,0,0,0,0,0.1933596445998308
30340973,30340920,0,9,9,0,3,0,1.7926097280159192
30340978,30340979,0,2,0,0,0,0,1.7002017682330584
30340979,30340980,0,2,0,0,0,0,3.5906649963833233
30340980,275357288,0,1,0,0,0,0,2.033685927549936
30340987,848504661,0,7,3,0,1,0,1.454112553051091
30340989,268842694,0,2,3,0,1,0,0.8126103055123576
30340991,268842122,0,1,0,0,0,0,1.126401842526439
30340992,268840707,0,1,0,0,0,0,0.5169228096252861
30340994,268616414,0,3,6,0,2,0,1.9512275506365968
30340994,268840695,0,2,6,0,2,0,1.3594241895296952
30340995,8397961351,0,2,6,0,2,0,2.1384217664820357
30340996,30340997,0,2,0,0,0,0,2.514438175125448
30340998,30340999,0,6,6,0,2,0,3.023626297940701
30340998,842889546,0,1,3,0,1,0,3.2375008133938974
30341000,8081674790,0,10,24,0,8,0,0.9442228702442259
30341002,268511174,0,10,12,0,4,0,0.4224652145223692
30341005,268500467,0,38,46,1,12,1,4.874356954179857
30341005,268615854,0,2,0,0,0,0,2.6906006156582225
30341007,269832531,0,2,0,0,0,0,1.4498890800014164
30341009,269965177,0,5,0,0,0,0,0.5302466426836614
30341010,30341011,0,8,6,0,2,0,0.9347902277840269
30341011,30341012,0,3,3,0,1,0,0.8228726078789143
30341011,269830435,0,2,3,0,1,0,4.041501894344655
30341012,30341013,0,1,0,0,0,0,0.22838601457585497
30341013,269830124,0,7,9,0,3,0,0.6157604631966335
30341013,2434287917,0,8,16,1,2,1,1.007348053390954
30341019,30956999,0,10,6,0,2,0,2.2609505043261944
30341021,269994753,0,3,0,0,0,0,4.393689776945071
30341027,30341033,0,1,3,0,1,0,1.194272543046805
30341035,5460574818,0,1,0,0,0,0,1.764020575805022
30341039,30341026,0,1,0,0,0,0,3.4278767451365098
30341117,31180761,0,1,3,0,1,0,4.3269893985213805
30341122,268824578,0,1,0,0,0,0,2.670660480329952
